OXY_Close_PD,OXY_Volume,VIX_Close,PD_12-5_AVGs,12-5_Label,PD_15-5_AVGs,,15-5_Label,OXY_Close,,Rel_Max,Rel_Min
-0.004951083171,3784309,30.12000084,-0.004209720069,0,-0.01895185101,,,47.76691437,1,#N/A,#N/A
0.008249526227,5170232,29.64999962,-0.001311448496,2,-0.02822430479,,,48.16096878,1,#N/A,#N/A
0.03350624537,5812884,26.84000015,0.002513464877,2,-0.01779530614,,,49.77466202,1,#N/A,#N/A
0.01671274096,4626530,25.70999908,0.01441575934,0,-0.01108478435,,,50.60653305,1,#N/A,#N/A
0.002471921309,4110384,24.97999954,0.02216732906,0,-0.005680521565,,,50.73162842,1,#N/A,#N/A
-0.002465825981,2748676,24.43000031,0.0275468836,0,0.007057722889,,,50.60653305,2,#N/A,#N/A
0.01717922368,3789841,24.55999947,0.02347292409,0,0.00747954554,,,51.475914,2,#N/A,#N/A
-0.002794480137,2815060,24.88999939,0.02691204438,0,0.00813999784,,,51.33206558,2,#N/A,#N/A
0.0003658484112,3831800,25.13999939,0.01599533048,0,0.004132907785,,,51.35084534,2,#N/A,#N/A
-0.0331302675,5704958,26.25,0.0001169519257,1,0.009452266605,,,49.64957809,2,#N/A,#N/A
0.001763688214,3136020,25.96999931,-0.01383561314,1,0.006288300159,,,49.73714447,2,#N/A,#N/A
0.01798295084,3634423,23.93000031,-0.01452106761,0,0.01347149266,,,50.63156509,2,#N/A,#N/A
-0.0111184101,4756689,25.63999939,-0.01485737361,0,0.009374789426,,2,50.06862259,2,#N/A,50.06862259
0.02585913239,4374041,24.62999916,-0.0183080991,0,0.01075642445,,,51.36335373,2,#N/A,#N/A
0.0002435275625,4590624,23.46999931,-0.005949297199,2,0.007315272261,,,51.37586212,2,#N/A,#N/A
0.009496153587,4203071,22.72999954,0.003994840324,2,-0.004665043749,,,51.8637352,1,#N/A,#N/A
-0.0359382446,6075915,23.19000053,0.01266177116,0,-0.01241990967,,,49.9998436,1,#N/A,#N/A
-0.01326031064,4519648,24.25,0.001031629234,0,-0.01202783612,,,49.33683014,1,#N/A,#N/A
-0.01508580064,6239475,24.12999916,0.0004425036939,1,-0.01251897191,,,48.59254456,1,#N/A,#N/A
0.00308927981,3875117,23.5,-0.006081696918,1,-0.02085763041,,,48.74266052,1,#N/A,#N/A
0.02899989951,4964713,22.01000023,-0.01061120326,0,-0.01347400357,,,50.15619278,1,#N/A,#N/A
-0.01895468905,5761530,22.62999916,-0.01338521309,0,-0.01143436735,,,49.20549774,1,#N/A,#N/A
0.001525165739,5070865,22.20999908,-0.01153499506,2,0.005394367804,,,49.28054428,2,#N/A,#N/A
-0.01510334054,5790756,22.10000038,0.002206339309,2,-0.001132930926,,,48.53624344,1,#N/A,#N/A
-0.01636572056,6631621,21.73999977,0.002631211436,0,0.0008841247129,,,47.74191284,2,#N/A,#N/A
0.008122726375,4754497,22.13999939,0.006929197968,0,0.01592001558,,,48.12970734,2,#N/A,#N/A
0.01117563296,6539351,22.37000084,0.002184612892,0,0.01520953651,,,48.66758728,2,#N/A,#N/A
-0.01889187858,6442280,25.38999939,0.004309928109,1,0.0009351853074,,2,47.74816513,2,#N/A,47.74816513
0.001571635777,4151926,25.72999954,-0.003170191866,0,-0.001064127678,,,47.82320786,1,#N/A,#N/A
-0.01399418198,3651436,26.23999977,-0.002792291879,0,0.01466808596,,,47.15396118,2,#N/A,#N/A
0.006764997499,4917952,26.10000038,-0.002314476184,0,0.00565804797,,,47.47295761,2,#N/A,#N/A
0.01225271602,3913319,24.32999992,0.001304978114,2,0.0129213445,,,48.05463028,2,#N/A,#N/A
-0.01574845841,4847810,24.59000015,0.005695829354,0,0.01216746581,,,47.29784393,2,#N/A,#N/A
-0.003042057301,4881211,26.44000053,0.0002984489855,0,0.01243143194,,,47.15396118,2,#N/A,#N/A
-0.004377027728,5715709,25.48999977,0.003459119233,0,0.005424157757,,,46.94756699,2,#N/A,#N/A
0.006794575748,5146643,25.65999985,0.00204755482,0,-0.002764957023,,,47.26655579,1,#N/A,#N/A
-0.02051087901,5045501,27.45999908,0.001579162755,1,-0.005039830912,,,46.29707718,1,#N/A,#N/A
-0.01513104972,6634648,26.70000076,-0.004702010478,0,0.00050594705,,,45.5965538,2,#N/A,#N/A
-0.009190768772,4910228,27.37000084,-0.00479394535,0,0.004489221213,,,45.17748642,2,#N/A,#N/A
0.04416445925,6032599,24.45000076,-0.006652371678,0,-0.003497936772,,,47.17272568,1,#N/A,#N/A
-0.02161240371,4117064,27.20999908,0.003978664332,0,0.001302866169,,,46.15320969,2,#N/A,#N/A
-0.009621873664,4573819,26.04999924,-0.003626162409,0,0.003261903585,,,45.70912933,2,#N/A,#N/A
0.05172447463,5527203,23.88999939,-0.001454276989,0,-0.003821444997,,1,48.07341003,1,48.07341003,#N/A
0.0127501199,3442577,23.19000053,0.01846954689,0,-0.0008756491721,,,48.68635178,1,#N/A,#N/A
0.006166498274,3235909,21.30999947,0.02273424288,0,0.004423367361,,,48.98657608,2,#N/A,#N/A
-0.02387650326,4007989,23.79999924,0.01636439298,0,0.01176146904,,,47.81694794,2,#N/A,#N/A
0.0151179991,3689743,23.25,0.006203275679,0,0.01435330163,,,48.53984451,2,#N/A,#N/A
0.004532384125,3319829,22.80999947,0.01683264612,0,0.0158898173,,,48.75984573,2,#N/A,#N/A
0.008121669513,3542988,21.98999977,0.005216426951,1,0.01865321149,,,49.15585709,2,#N/A,#N/A
0.005242857064,3367425,21.20999908,-0.009080367996,1,0.02337954046,,,49.41357422,2,#N/A,#N/A
-0.003052926659,2588665,21.55999947,-0.01365327397,0,0.01759506037,,,49.2627182,2,#N/A,#N/A
-0.00293481626,2766420,22.10000038,-0.001888966459,0,0.0144334858,,,49.11814117,2,#N/A,#N/A
-0.0216277134,5371785,21.71999931,-0.005046709621,0,0.006469307485,,,48.05582809,2,#N/A,#N/A
-0.003270239833,7425411,22.01000023,-0.01522670368,0,0.006339319926,,,47.89867401,2,#N/A,#N/A
0.01351674651,3516058,21.5,-0.008066667445,0,0.005568728802,,,48.54610825,2,#N/A,#N/A
-0.004013728982,3664170,22.35000038,-0.005486199479,0,-0.005028968884,,,48.35125732,1,#N/A,#N/A
-0.01274028418,4221128,22.51000023,-0.005493631702,0,-0.01126428034,,,47.73524857,1,#N/A,#N/A
-0.01804074301,5663102,23.87000084,-0.0116194406,0,-0.003762222365,,,46.87406921,1,#N/A,#N/A
0.02319992357,6644146,21.70999908,-0.007291483455,0,-0.01208611083,,,47.96154404,1,#N/A,#N/A
