OXY_Open,OXY_High,OXY_Low,OXY_Adj_Close,OXY_Adj_PD,OXY_Volume,OIL_Open,OIL_Close,OIL_High,OIL_Low,Max/Min Label,Rel_Max,Rel_Min,Max/Min Label_P,Rel_Max_P,Rel_Min_P,Max/Min Label_dP,Rel_Max_dP,Rel_Min_dP
75.75,76.6,75.24,59.18,0.01841335398,3223500,44.69,45.74,46.49,44.36,0,#N/A,#N/A,1,0.01841335398,#N/A,1,0.01841335398,#N/A
76.76,78.09,76.65,59.99,0.01368705644,3678600,46.26,47.18,47.45,45.63,1,59.99,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
76.22,76.5,75.39,59.06,-0.01550258376,3354900,47.37,45.83,47.4,45.72,0,#N/A,#N/A,2,#N/A,-0.01550258376,0,#N/A,#N/A
75.43,75.88,74.71,58.48,-0.009820521504,4191900,45.8,44.97,46.4,44.62,0,#N/A,#N/A,1,-0.009820521504,#N/A,0,#N/A,#N/A
75.18,75.78,73.85,57.23,-0.021374829,6165400,45.21,44.62,46.01,44.19,2,#N/A,57.23,2,#N/A,-0.021374829,2,#N/A,-0.021374829
75.66,76.89,75.08,58.92,0.0295299668,6338800,45.08,45.01,46.77,44.65,1,58.92,#N/A,1,0.0295299668,#N/A,1,0.0295299668,#N/A
75.31,76.64,75.1,58.86,-0.001018329939,5258000,45.16,45.37,46.12,44.19,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
75.25,75.83,74.25,58.45,-0.006965681278,3936400,45.75,43.63,46.48,43.43,2,#N/A,58.45,2,#N/A,-0.006965681278,2,#N/A,-0.006965681278
75.66,76.58,75.52,59.13,0.01163387511,4696300,43.49,45.52,45.7,43.33,1,59.13,#N/A,1,0.01163387511,#N/A,1,0.01163387511,#N/A
75.9,77.02,75.68,59.05,-0.001352951125,4523400,45.59,47.6,47.75,44.8,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
76.36,76.38,75.17,58.3,-0.01270110076,3689900,47.85,47.83,48.12,47.26,2,#N/A,58.3,2,#N/A,-0.01270110076,2,#N/A,-0.01270110076
76.15,76.85,75.84,59.22,0.01578044597,4468400,47.8,48.97,49.47,47.77,1,59.22,#N/A,1,0.01578044597,#N/A,1,0.01578044597,#N/A
76.33,77.08,75.76,59.07,-0.002532928065,5319300,49.03,49.28,49.75,48.57,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
75.38,75.89,74.31,57.89,-0.01997629931,6095500,49.36,48.93,49.85,48.45,2,#N/A,57.89,2,#N/A,-0.01997629931,2,#N/A,-0.01997629931
74.5,75,73.82,57.91,0.0003454828122,3963800,48.67,48.81,48.88,47.38,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
75.31,75.43,74.6,58,0.001554135728,3411300,48.9,48.72,49.39,48.07,1,58,#N/A,1,0.001554135728,#N/A,0,#N/A,#N/A
74.48,75.37,74.31,57.94,-0.001034482759,3334500,48.72,48.35,48.84,47.58,2,#N/A,57.94,2,#N/A,-0.001034482759,2,#N/A,-0.001034482759
75.54,76.39,74.98,58.9,0.01656886434,3619900,48.35,48.61,49.24,47.8,0,#N/A,#N/A,1,0.01656886434,#N/A,1,0.01656886434,#N/A
76.87,77.35,75.88,58.94,0.0006791171477,3399500,49.16,49.74,49.96,48.91,1,58.94,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
76.7,77.18,76.05,58.89,-0.0008483203258,2286800,49.76,49.59,50.51,49.25,2,#N/A,58.89,2,#N/A,-0.0008483203258,0,#N/A,#N/A
75.97,76.22,75.58,58.93,0.0006792324673,2203100,49.42,49.32,49.55,48.69,1,58.93,#N/A,1,0.0006792324673,#N/A,1,0.0006792324673,#N/A
76.22,76.51,75.08,58.38,-0.009333107076,4584800,49.7,49.69,50.05,49.23,0,#N/A,#N/A,2,#N/A,-0.009333107076,2,#N/A,-0.009333107076
74.9,75.55,74.33,58.38,0,3041900,49.65,49.72,50,48.65,0,#N/A,#N/A,1,0,#N/A,0,#N/A,#N/A
74.82,75.25,74.36,58.2,-0.003083247688,2244600,49.63,50.04,50.3,48.84,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
75.48,75.72,74.37,57.9,-0.005154639175,2562000,49.95,49.64,50.33,49.3,2,#N/A,57.9,2,#N/A,-0.005154639175,2,#N/A,-0.005154639175
75.56,76.18,75.22,58.35,0.007772020725,3296100,49.83,50.55,50.83,49.72,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
76,77.17,75.57,59.48,0.01936589546,4531800,50.46,51.44,51.54,50.28,1,59.48,#N/A,1,0.01936589546,#N/A,1,0.01936589546,#N/A
74.56,75.66,74.52,59.08,-0.006724949563,3846600,52.74,51.95,52.86,51.53,0,#N/A,#N/A,2,#N/A,-0.006724949563,2,#N/A,-0.006724949563
75,75.46,74.8,58.96,-0.002031144211,4066300,51.91,50.54,52.1,50.33,0,#N/A,#N/A,1,-0.002031144211,#N/A,0,#N/A,#N/A
74.84,75.69,74.63,58.8,-0.002713704206,5074600,50.42,50.35,50.79,49.61,0,#N/A,#N/A,2,#N/A,-0.002713704206,0,#N/A,#N/A
75.09,75.26,74.8,58.7,-0.001700680272,3880300,49.89,49.83,50.05,49.2,0,#N/A,#N/A,1,-0.001700680272,#N/A,1,-0.001700680272,#N/A
75.09,75.34,74.59,58.49,-0.003577512777,3104700,49.22,48.97,49.8,48.39,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.36,74.63,73.82,58.18,-0.005300051291,3378000,48.56,47.19,48.77,46.94,2,#N/A,58.18,2,#N/A,-0.005300051291,2,#N/A,-0.005300051291
74.85,75.05,74.46,58.57,0.006703334479,4062600,47.28,49.17,49.4,47.25,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
75.98,76.66,75.7,59.47,0.01536622844,3698000,49.42,50.65,50.68,49.24,0,#N/A,#N/A,1,0.01536622844,#N/A,1,0.01536622844,#N/A
76.31,77.28,75.81,60.3,0.01395661678,3164000,50.43,50.62,51.1,49.46,1,60.3,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
77.28,77.68,76.76,60.25,-0.0008291873964,3564000,51.06,49.88,51.24,49.18,2,#N/A,60.25,2,#N/A,-0.0008291873964,0,#N/A,#N/A
77.82,78.31,77.29,61.19,0.01560165975,4104000,50.14,50.91,51.18,49.89,1,61.19,#N/A,1,0.01560165975,#N/A,1,0.01560165975,#N/A
75.68,76.45,74.84,58.82,-0.03873181892,5601400,50.69,48.41,50.74,47.54,0,#N/A,#N/A,2,#N/A,-0.03873181892,2,#N/A,-0.03873181892
74.36,74.74,72.5,57.14,-0.0285617137,5173100,48.43,47.16,48.9,46.69,2,#N/A,57.14,0,#N/A,#N/A,0,#N/A,#N/A
74.31,74.31,73.17,57.8,0.01155057753,4449100,47.61,48.58,48.79,47.47,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
73.98,75.34,73.88,58.68,0.01522491349,4330800,48.84,50.61,50.74,48.62,0,#N/A,#N/A,1,0.01522491349,#N/A,1,0.01522491349,#N/A
75.22,75.66,74.84,59.05,0.00630538514,3779300,50.21,49.68,50.28,49.47,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
75.43,76.25,75.14,59.13,0.001354784081,3944600,49.9,50.35,50.66,49.25,1,59.13,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.9,75.72,74.53,58.78,-0.00591916117,3599000,50.03,47.96,50.05,47.54,2,#N/A,58.78,2,#N/A,-0.00591916117,2,#N/A,-0.00591916117
75.22,75.56,74.68,58.96,0.003062266077,3358300,48.06,48.8,49.31,47.17,0,#N/A,#N/A,1,0.003062266077,#N/A,0,#N/A,#N/A
75.67,75.99,75,58.96,0,4564200,49.12,46.4,49.59,46.15,0,#N/A,#N/A,2,#N/A,0,0,#N/A,#N/A
76.5,76.5,75.36,59.49,0.008989145183,3804200,46.6,46.76,47.23,46.15,0,#N/A,#N/A,1,0.008989145183,#N/A,0,#N/A,#N/A
76.33,76.82,75.93,59.55,0.001008572869,3204200,46.49,46.25,47.1,45.9,0,#N/A,#N/A,2,#N/A,0.001008572869,0,#N/A,#N/A
77.41,77.5,76.66,60.46,0.01528127624,4347500,46.17,48.47,48.57,46.09,1,60.46,#N/A,1,0.01528127624,#N/A,1,0.01528127624,#N/A
77.49,77.58,76.22,60.04,-0.006946741647,3659400,48.13,46.26,48.2,46.09,2,#N/A,60.04,2,#N/A,-0.006946741647,2,#N/A,-0.006946741647
77.55,77.66,76.93,60.33,0.004830113258,4158200,46.59,47.37,47.47,46.34,1,60.33,#N/A,1,0.004830113258,#N/A,0,#N/A,#N/A
77.01,77.13,76.53,59.99,-0.005635670479,2779400,47.92,46.96,47.95,46.5,0,#N/A,#N/A,2,#N/A,-0.005635670479,0,#N/A,#N/A
76.33,76.88,76.13,59.68,-0.005167527921,2262500,46.93,46.66,47.49,46.53,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
76.14,76.87,75.87,59.66,-0.0003351206434,1825800,46.76,47.17,47.49,45.9,0,#N/A,#N/A,1,-0.0003351206434,#N/A,1,-0.0003351206434,#N/A
75.92,76.51,75.59,59.18,-0.008045591686,1980400,47.17,46.2,47.56,46.05,0,#N/A,#N/A,2,#N/A,-0.008045591686,0,#N/A,#N/A
75.67,76.01,75.13,58.9,-0.004731328151,2411400,46.21,45.69,46.5,45.17,0,#N/A,#N/A,1,-0.004731328151,#N/A,0,#N/A,#N/A
74.9,75.26,74.1,58.22,-0.01154499151,4181800,45.7,44.72,45.87,44.55,2,#N/A,58.22,2,#N/A,-0.01154499151,2,#N/A,-0.01154499151
74.21,74.89,73.97,58.37,0.002576434215,2734400,44.82,44.87,44.96,44.14,1,58.37,#N/A,1,0.002576434215,#N/A,1,0.002576434215,#N/A
74.57,74.85,73.82,57.95,-0.007195477129,2975100,44.55,43.47,44.91,43.27,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.4,74.49,73.3,57.51,-0.007592752373,4132400,43.11,42.14,43.85,41.87,0,#N/A,#N/A,2,#N/A,-0.007592752373,2,#N/A,-0.007592752373
73.96,74.08,72.11,57.14,-0.006433663711,5563900,42.23,41.8,43.18,41.51,2,#N/A,57.14,0,#N/A,#N/A,0,#N/A,#N/A
73.53,74.41,72.33,58.12,0.01715085754,4697100,41.94,43.1,43.47,41.56,1,58.12,#N/A,1,0.01715085754,#N/A,1,0.01715085754,#N/A
74.01,74.85,73.92,58.02,-0.001720578114,3745600,43.36,44.29,44.34,42.51,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.2,74.2,73.06,57.58,-0.007583591865,3842600,44.18,44.27,44.49,43.51,2,#N/A,57.58,2,#N/A,-0.007583591865,0,#N/A,#N/A
74.19,74.69,73.85,58.11,0.009204584925,3378000,44.34,45.39,45.71,44.24,1,58.11,#N/A,1,0.009204584925,#N/A,1,0.009204584925,#N/A
74.68,74.77,73.32,57.58,-0.009120633282,3353200,45.25,44.98,45.77,44.76,0,#N/A,#N/A,2,#N/A,-0.009120633282,2,#N/A,-0.009120633282
74,74.32,73.13,57.26,-0.005557485238,2659800,44.92,44.05,45.68,43.81,2,#N/A,57.26,0,#N/A,#N/A,0,#N/A,#N/A
73.84,74.58,73.31,58.02,0.01327279078,2729400,43.78,46.04,46.3,43.46,0,#N/A,#N/A,1,0.01327279078,#N/A,1,0.01327279078,#N/A
74.46,74.6,73.85,58.19,0.00293002413,2151400,46.18,46.97,47.25,45.74,0,#N/A,#N/A,2,#N/A,0.00293002413,0,#N/A,#N/A
74.9,75.23,74.72,58.65,0.00790513834,4851600,47.14,48.35,48.54,46.84,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.77,76.26,74.5,59.4,0.01278772379,4289400,48.22,49.23,49.04,48.8,0,#N/A,#N/A,1,0.01278772379,#N/A,1,0.01278772379,#N/A
75.87,76.62,75.45,59.87,0.007912457912,3983000,48.88,49.85,49.93,48.55,0,#N/A,#N/A,2,#N/A,0.007912457912,0,#N/A,#N/A
76.92,77.51,76.73,60.55,0.01135794221,4390500,49.76,50.89,51.05,49.52,1,60.55,#N/A,1,0.01135794221,#N/A,0,#N/A,#N/A
76.91,77.15,76.33,59.81,-0.01222130471,2992200,50.96,50.88,51.22,50.32,0,#N/A,#N/A,2,#N/A,-0.01222130471,2,#N/A,-0.01222130471
76.03,76.53,75.67,59.67,-0.002340745695,2521900,50.7,49.16,50.7,49.07,2,#N/A,59.67,0,#N/A,#N/A,0,#N/A,#N/A
76.37,77.07,76.37,60.08,0.006871124518,2432900,49.04,49.96,50.21,48.48,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
76.88,77.94,76.57,60.73,0.01081890812,5358000,49.57,49.05,49.87,48.68,1,60.73,#N/A,1,0.01081890812,#N/A,1,0.01081890812,#N/A
77.66,77.7,77,60.45,-0.004610571382,3228100,49.03,49.67,49.78,48.7,0,#N/A,#N/A,2,#N/A,-0.004610571382,2,#N/A,-0.004610571382
77.54,77.94,76.85,60.3,-0.002481389578,3517400,49.66,49.92,50.76,49.12,2,#N/A,60.3,0,#N/A,#N/A,0,#N/A,#N/A
77.1,78.02,76.6,60.91,0.01011608624,3335300,49.54,49.26,49.6,49.41,1,60.91,#N/A,1,0.01011608624,#N/A,1,0.01011608624,#N/A
78.48,78.48,77.59,60.83,-0.001313413233,2309600,49.25,48.37,49.76,48.23,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
77.58,77.58,76.49,60.05,-0.01282262042,3376600,48.29,47.04,48.42,46.96,0,#N/A,#N/A,2,#N/A,-0.01282262042,2,#N/A,-0.01282262042
76.55,76.85,76.01,60.05,0,3261000,46.98,45.45,47.24,45.32,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
77.57,77.78,76.56,60.57,0.008659450458,3458300,45.79,46.83,47.02,45.41,0,#N/A,#N/A,1,0.008659450458,#N/A,1,0.008659450458,#N/A
77.6,78.17,77.36,60.95,0.006273732871,3978800,47.43,47.26,47.99,46.29,0,#N/A,#N/A,2,#N/A,0.006273732871,0,#N/A,#N/A
